dots,a,data
1,1,9.0
2,1,4.5
3,1,3.074074074074074
4,2,2.25
5,2,1.9036800000000003
6,4,1.6851851851851851
7,2,1.5630987088713035
8,3,1.423828125
9,2,1.4206675811614082
10,6,1.2859199999999995
11,3,1.2693805067959838
12,5,1.216435185185185
13,8,1.1851475788662857
14,10,1.1713869221157842
15,11,1.1705718518518513
16,6,1.12939453125
17,7,1.1242322290202462
18,7,1.1127114769090074
19,7,1.099508137598698
20,6,1.09512
21,8,1.0808305181483022
22,14,1.0797418209138714
23,16,1.077558327764694
24,14,1.064525462962963
25,7,1.0665722879999993
26,16,1.0551626343615426
27,19,1.055592248245806
28,22,1.0579966680549762
29,17,1.047109988816326
30,11,1.0453274074074075
31,12,1.0415886590559384
32,14,1.041778564453125
33,10,1.041668880136197
34,21,1.0345242513858781
35,8,1.0381206497292792
36,26,1.032807498856881
37,26,1.033657727377743
38,22,1.0290321590534142
39,17,1.0295767214292482
40,11,1.028998125
41,17,1.0264339411577978
42,16,1.023608990081294
43,12,1.024403877265742
44,31,1.0230538385356185
45,19,1.0221222862368557
46,27,1.020938675890951
47,18,1.0204619933147263
48,14,1.020308883101852
49,31,1.0186525085601386
50,21,1.0177528319999996
51,36,1.0199550612021724
52,38,1.0175851685865334
53,23,1.017776356092867
54,34,1.0159556752301735
55,34,1.0146170562120072
56,39,1.0157169213348582
57,41,1.0156491080286927
58,24,1.0135610881672201
59,18,1.0143641837525503
60,22,1.0129985185185177
61,44,1.0133891469647787
62,24,1.0119580388534741
63,46,1.0125705891101964
64,19,1.0120511054992676
65,46,1.0116340576310325
66,37,1.0115517812737915
67,18,1.0112386799721955
68,42,1.0099286407011399
69,29,1.0104514375689788
70,29,1.0098190420658049
71,44,1.0097243468466313
72,50,1.010055869913122
73,27,1.0091884564258753
74,31,1.0088762384875147
75,44,1.0086014482962955
76,29,1.0085752200336089
77,30,1.0094246184846427
78,46,1.0083803736511947
79,49,1.0078872236491623
80,49,1.0076248828124978
81,47,1.0074101811378384
82,34,1.0075008112858808
83,36,1.007984268975717
84,31,1.0078646821540396
85,48,1.0076245217370445
86,50,1.006912218640396
87,51,1.0073483287877556
88,62,1.0065382530223328
89,34,1.0061234663262977
90,52,1.006271312299951
91,64,1.0065139811016415
92,58,1.0059435536608285
93,67,1.00642404530134
94,26,1.005794538618406
95,56,1.0058970106122576
96,70,1.006314878110531
97,62,1.0058124045986514
98,62,1.0052878668318297
99,70,1.0053983984380679
100,38,1.0050382079999987
101,39,1.0052631740290914
102,63,1.0053738979817441
103,39,1.0052388750293286
104,43,1.0049516413334607
105,61,1.0048335020901755
106,75,1.004736276533711
107,60,1.004761259534197
108,67,1.0047070723749183
109,45,1.0044743569590706
110,42,1.0041501318215957
111,70,1.0042867576873444
112,31,1.0042963564172467
113,71,1.0047291780453897
114,82,1.0043739575242518
115,71,1.0040278598203987
116,67,1.0039892648749205
117,49,1.0039015795406354
118,46,1.0040219565959938
119,73,1.0037465182760728
120,74,1.0040232407407401
121,71,1.003605206354851
122,34,1.0037504041827423
123,89,1.003556590268629
124,54,1.0036136157163733
125,37,1.0039148126208
126,74,1.0035205762269035
127,92,1.003755233996918
128,47,1.003262311220169
129,79,1.0031986089296805
130,82,1.003263543993555
131,50,1.0030847410651762
132,82,1.0032322979355237
133,75,1.0032966622662363
134,98,1.003143820137846
135,79,1.0031734855233212
136,86,1.0030229111540783
137,53,1.0031726317640475
138,38,1.002927919253619
139,57,1.0030553999982004
140,82,1.0027608829654306
141,43,1.0029470657489177
142,100,1.002728646719591
143,80,1.0029009454648596
144,55,1.00254628513303
145,89,1.0027587681840737
146,54,1.0025785928079154
147,85,1.002701811807103
148,86,1.0024929821930966
149,44,1.0026109327002217
150,88,1.0024170287407392
151,56,1.002535342385835
152,58,1.0024035002992606
153,55,1.0025466709327215
154,109,1.0024463175177352
155,64,1.0024030382849978
156,34,1.0025672796496632
157,46,1.0023370747716684
158,98,1.0022121520106713
159,112,1.0023159645240958
